Tree 1,,,,,,
Sensor 1,Sensor 2,Sensor 3,Sensor 4,Average,Temp,Moisture Meter
45,63,80,82,67,12.3,7
45,63,80,82,67,12.3,7
45,63,80,82,67,12.3,7
45,63,80,82,67,12.3,7
45,63,80,82,67,12.3,7
45,63,80,82,67,12.3,7
45,63,81,82,67,12.3,7
45,63,80,82,67,12.3,7
45,63,81,82,67,12.3,7
45,63,81,82,67,12.3,7
45,63,81,82,67,12.3,7
45,63,81,83,68,12.3,7
45,63,81,82,67,12.3,7
46,63,81,83,68,12.3,7
46,64,81,83,68,12.3,7
46,63,81,83,68,12.3,7
46,63,81,82,68,12.3,7
46,63,81,83,68,12.3,7
46,64,81,83,68,12.3,7
46,64,81,83,68,12.3,7
,,,,,,
Tree 2,,,,,,
Sensor 1,Sensor 2,Sensor 3,Sensor 4,Average,Temp,Moisture Meter
70,78,66,78,73,10.6,7
70,78,66,78,73,10.6,7
70,78,66,78,73,10.6,7
70,78,66,78,73,10.6,7
70,78,66,78,73,10.6,7
70,78,66,78,73,10.6,7
70,78,66,78,73,10.6,7
70,78,66,78,73,10.6,7
70,78,66,78,73,10.6,7
70,78,66,78,73,10.6,7
70,78,66,78,73,10.6,7
70,79,66,78,73,10.6,7
70,79,66,78,73,10.6,7
70,79,66,79,73,10.6,7
70,79,66,78,73,10.6,7
70,79,66,78,73,10.6,7
70,79,66,78,73,10.6,7
70,79,66,78,73,10.6,7
70,79,66,78,73,10.6,7
70,79,66,78,73,10.6,7
70,79,66,78,73,10.6,7
70,79,66,78,73,10.6,7
70,79,66,78,73,10.6,7
70,79,66,78,73,10.6,7
,,,,,,
Tree 3,,,,,,
Sensor 1,Sensor 2,Sensor 3,Sensor 4,Average,Temp,Moisture Meter
58,54,29,49,47,20.4,9
58,54,29,49,47,20.4,9
58,54,29,49,47,20.4,9
58,54,29,49,47,20.4,9
58,54,29,49,47,20.4,9
58,54,29,49,47,20.4,9
58,55,29,49,47,20.4,9
58,55,29,49,47,20.4,9
58,55,29,49,47,20.4,9
58,55,29,49,47,20.4,9
58,55,29,49,47,20.4,9
58,55,29,49,47,20.4,9
58,55,29,49,47,20.4,9
58,55,29,49,47,20.4,9
58,55,29,49,47,20.4,9
58,55,29,49,47,20.4,9
58,55,29,50,48,20.4,9
58,55,29,50,48,20.4,9
58,55,29,50,48,20.4,9
58,55,29,50,48,20.4,9
58,55,29,50,48,20.4,9
58,55,29,50,48,20.4,9
58,55,30,50,48,20.4,9
