MQ135,MQ9,MQ2,CO,CO2
585,174,161,2,303
581,172,160,,
582,171,161,,
579,171,161,,
579,169,158,,
577,169,158,,
576,165,159,,
577,167,160,,
574,165,160,,
571,161,154,,
573,162,156,,
574,164,158,,
572,164,156,,
572,165,156,,
572,162,157,,
569,162,155,,
569,164,156,,
569,163,153,,
567,163,154,,
567,163,154,,
566,162,156,,
565,159,155,,
563,158,156,,
566,158,156,,
568,161,157,,
570,161,158,,
568,160,156,,
566,160,156,,
564,160,156,,
564,159,156,,
562,160,155,,
563,161,155,,
561,158,156,,400
559,157,155,,
561,156,152,,
559,156,155,,
557,157,152,,
557,154,154,,
556,155,152,,
556,154,153,,
554,155,152,,
554,154,153,,
554,154,152,,
552,152,151,,
552,150,150,,
551,149,151,,
551,151,151,,
553,153,152,,
551,153,151,,
550,150,149,,420
549,150,150,,
549,150,149,,
549,150,150,,
548,150,150,,
548,150,151,,
547,150,148,,
548,151,151,,
547,152,150,,
545,150,149,,
547,150,150,,
546,149,150,,
544,149,152,,
545,149,150,,
543,149,151,,
542,147,150,,
544,148,150,,
542,147,149,,
541,148,149,,
540,147,147,,
541,146,149,,
542,148,148,,
540,144,147,,
539,146,147,,
539,146,148,,
540,147,148,,
539,146,147,,500
537,145,148,,
539,145,149,,
538,147,148,,
538,145,148,,
538,145,148,,
536,144,147,,
534,145,146,,
531,141,144,,
534,141,146,,
534,144,146,,
534,141,148,,
533,143,147,,
534,144,146,,
533,143,148,,
533,144,146,,
534,142,147,,
533,144,147,,
532,143,149,,
530,144,145,,
531,142,147,,
531,143,147,,480
532,143,149,,
532,143,150,,
532,143,148,,
531,143,147,,
528,143,145,,
528,142,146,,
529,142,147,,
529,142,146,,490
527,140,146,,
529,140,147,,
527,140,146,,
527,141,145,,
524,139,144,,500
526,139,145,,
525,141,145,,
524,140,145,,
523,140,146,,
524,140,145,2,500
